id	scope	type	title	trigger	command	description	keywords	source
tmux-open	global	tmux	Tmux: open project session	t	t	Open or return to a tmux session for the current directory	tmux session project attach tabs terminal	stow/global/shell/.config/shell/tmux-layouts.sh
tmux-open-named	global	tmux	Tmux: open named session	t <name>	t <name>	Open or return to a named tmux session	tmux session named attach terminal	stow/global/shell/.config/shell/tmux-layouts.sh
tmux-list	global	tmux	Tmux: list sessions	tl	tl	List running tmux sessions	tmux list sessions terminal	stow/global/shell/.config/shell/tmux-layouts.sh
tmux-attach-named	global	tmux	Tmux: attach named session	ta <name>	ta <name>	Attach or switch to a named tmux session	tmux attach switch session terminal	stow/global/shell/.config/shell/tmux-layouts.sh
tmux-kill-named	global	tmux	Tmux: kill named session	tk <name>	tk <name>	Kill a named tmux session	tmux kill session terminal	stow/global/shell/.config/shell/tmux-layouts.sh
tdl-opencode	global	tmux	Tmux layout: OpenCode	tdl c	tdl c	Editor left, OpenCode right, shell bottom	tdl tmux layout ai opencode c oc editor shell	stow/global/shell/.config/shell/tmux-layouts.sh
tdl-claude	global	tmux	Tmux layout: Claude	tdl cx	tdl cx	Editor left, Claude right, shell bottom	tdl tmux layout ai claude cx editor shell	stow/global/shell/.config/shell/tmux-layouts.sh
tdl-opencode-claude	global	tmux	Tmux layout: OpenCode + Claude	tdl c cx	tdl c cx	Editor left, OpenCode and Claude stacked right, shell bottom	tdl tmux layout ai opencode claude c cx editor shell	stow/global/shell/.config/shell/tmux-layouts.sh
tdlm-opencode	global	tmux	Tmux multi-project layout	tdlm c	tdlm c	One tmux window per immediate subdirectory with OpenCode	tdlm tmux project directory opencode ai	stow/global/shell/.config/shell/tmux-layouts.sh
tsl-opencode	global	tmux	Tmux swarm layout	tsl 4 c	tsl 4 c	Four tiled OpenCode panes in one tmux session	tsl tmux panes swarm opencode ai codex claude	stow/global/shell/.config/shell/tmux-layouts.sh
tmux-prefix	global	tmux	tdl usage: tmux prefix key	Ctrl+Space / Ctrl+B	Ctrl+Space or Ctrl+B	Start a tmux command/keybinding sequence; Ctrl+B remains the fallback	tmux tdl prefix help keybindings panes windows ctrl space ctrl b	stow/global/tmux/.tmux.conf
tmux-pane-left	global	tmux	tdl usage: move pane left	Ctrl+Space h	Ctrl+Space then h	Move focus to the pane on the left inside a tdl layout	tmux tdl pane move focus navigate left vim	stow/global/tmux/.tmux.conf
tmux-pane-down	global	tmux	tdl usage: move pane down	Ctrl+Space j	Ctrl+Space then j	Move focus to the pane below inside a tdl layout	tmux tdl pane move focus navigate down vim	stow/global/tmux/.tmux.conf
tmux-pane-up	global	tmux	tdl usage: move pane up	Ctrl+Space k	Ctrl+Space then k	Move focus to the pane above inside a tdl layout	tmux tdl pane move focus navigate up vim	stow/global/tmux/.tmux.conf
tmux-pane-right	global	tmux	tdl usage: move pane right	Ctrl+Space l	Ctrl+Space then l	Move focus to the pane on the right inside a tdl layout	tmux tdl pane move focus navigate right vim	stow/global/tmux/.tmux.conf
tmux-window-next	global	tmux	tdl usage: next window	Ctrl+Space n	Ctrl+Space then n	Move to the next tmux window; useful after tdlm creates one window per project	tmux tdl tdlm window next project navigate	stow/global/tmux/.tmux.conf
tmux-window-prev	global	tmux	tdl usage: previous window	Ctrl+Space p	Ctrl+Space then p	Move to the previous tmux window; useful after tdlm creates one window per project	tmux tdl tdlm window previous project navigate	stow/global/tmux/.tmux.conf
tmux-window-list	global	tmux	tdl usage: list windows	Ctrl+Space w	Ctrl+Space then w	Show and choose tmux windows; useful for tdlm project layouts	tmux tdl tdlm window list choose project navigate	stow/global/tmux/.tmux.conf
tmux-detach	global	tmux	tdl usage: detach session	Ctrl+Space d	Ctrl+Space then d	Detach from the current tdl tmux session without closing it	tmux tdl detach leave session background	stow/global/tmux/.tmux.conf
tmux-split-horizontal	global	tmux	tdl usage: split pane left/right	Ctrl+Space |	Ctrl+Space then |	Split the current tmux pane left/right	tmux tdl split pane horizontal vertical bar	stow/global/tmux/.tmux.conf
tmux-split-vertical	global	tmux	tdl usage: split pane top/bottom	Ctrl+Space -	Ctrl+Space then -	Split the current tmux pane top/bottom	tmux tdl split pane vertical dash	stow/global/tmux/.tmux.conf
tmux-pane-resize	global	tmux	tmux resize pane	Ctrl+Space H/J/K/L	Ctrl+Space then H/J/K/L	Resize the current tmux pane left/down/up/right; keep tapping H/J/K/L to repeat	tmux resize pane split bigger smaller ctrl space hjkl repeat	stow/global/tmux/.tmux.conf
tmux-copy-mode	global	tmux	tmux copy mode	Ctrl+Space Space	Ctrl+Space then Space	Enter pane-specific tmux copy mode for scrollback selection	tmux copy mode clipboard scrollback pane ctrl space	stow/global/tmux/.tmux.conf
tmux-copy-selection	global	tmux	tmux copy selection	c / y	c or y in copy mode	Copy the tmux selection to the tmux buffer and OS clipboard through OSC 52	tmux copy clipboard osc52 buffer selection vim yank	stow/global/tmux/.tmux.conf
tmux-paste-buffer	global	tmux	tmux paste buffer	Ctrl+Space v	Ctrl+Space then v	Paste the most recent tmux buffer	tmux paste buffer clipboard ctrl space v	stow/global/tmux/.tmux.conf
tmux-reload	global	tmux	tdl usage: reload tmux config	Ctrl+Space r	Ctrl+Space then r	Reload ~/.tmux.conf and show a confirmation message	tmux tdl reload config source	stow/global/tmux/.tmux.conf
agent-opencode	global	tmux	AI agent alias: OpenCode	c / oc	opencode	Agent names c and oc resolve to opencode	agent mapping ai opencode tdl tdlm tsl	stow/global/shell/.config/shell/tmux-layouts.sh
agent-claude	global	tmux	AI agent alias: Claude	cx	claude	Agent name cx resolves to claude	agent mapping ai claude tdl tdlm tsl	stow/global/shell/.config/shell/tmux-layouts.sh
agent-codex	global	tmux	AI agent alias: Codex	codex	codex	Agent name codex resolves to codex	agent mapping ai codex tdl tdlm tsl	stow/global/shell/.config/shell/tmux-layouts.sh
alias-parent	global	alias	Shell alias: parent directory	..	cd ..	Go up one directory	alias shell directory cd parent	stow/global/shell/.config/shell/aliases.sh
alias-git-status	global	alias	Shell alias: git status	gs	git status	Show current repository status	alias git status repo	stow/global/shell/.config/shell/aliases.sh
alias-git-pull	global	alias	Shell alias: git pull	gp	git pull	Pull the current branch	alias git pull update repo	stow/global/shell/.config/shell/aliases.sh
alias-git-log	global	alias	Shell alias: git log graph	gl	git log --oneline --decorate --graph --all -10	Show recent decorated commit graph across all refs	alias git log graph history commits repo	stow/global/shell/.config/shell/aliases.sh
alias-docker-ps	global	alias	Shell alias: docker ps	dps	docker ps	List running Docker containers	alias docker containers	stow/global/shell/.config/shell/aliases.sh
alias-docker-up	global	alias	Shell alias: compose up	dcu	docker compose up -d	Start Docker Compose stack in the background	alias docker compose up	stow/global/shell/.config/shell/aliases.sh
alias-docker-down	global	alias	Shell alias: compose down	dcd	docker compose down	Stop Docker Compose stack	alias docker compose down	stow/global/shell/.config/shell/aliases.sh
alias-fastfetch	global	alias	Shell alias: fastfetch	ff	fastfetch 2>/dev/null || true	Show system summary without shell noise	alias fastfetch system summary	stow/global/shell/.config/shell/aliases.sh
alias-cat-bat	global	alias	Shell alias: cat via bat/batcat	cat	bat --paging=never	Use bat as the interactive cat replacement, falling back to Debian/Ubuntu batcat	alias cat bat batcat pager syntax highlight	stow/global/shell/.config/shell/aliases.sh
terminal-fzf	global	shell	Fzf key bindings	Ctrl+R / Ctrl+T / Alt+C	fzf	Fuzzy history, file insertion, and directory jumping when fzf shell files are available	fzf fuzzy search history files directories shell	stow/global/zsh/.zshrc
terminal-direnv	global	shell	Direnv project env	direnv allow	direnv allow	Trust a project's .envrc so environment variables load when entering that directory	direnv envrc project environment shell	stow/global/zsh/.zshrc
terminal-delta	global	git	Delta git pager	git diff	git diff	Show git diffs through delta when installed, with line numbers and navigation	delta git diff pager review	stow/global/git/.gitconfig
alias-editor	global	alias	Shell alias: Neovim	v	nvim	Open Neovim	alias editor nvim neovim	stow/global/shell/.config/shell/aliases.sh
alias-yazi	global	alias	Shell alias: Yazi	y	yazi	Open Yazi file manager	alias file manager yazi	stow/global/shell/.config/shell/aliases.sh
alias-list	global	alias	Shell function: compact list	l	l	Compact styled file listing with eza or ls fallback	alias list files eza ls compact la	stow/global/shell/.config/shell/aliases.sh
alias-list-full	global	alias	Shell function: full list	ll	ll	Full styled file listing with compact metadata plus Git user and permissions columns	alias list files eza ls full long	stow/global/shell/.config/shell/aliases.sh
alias-tree	global	alias	Shell alias: tree view	lt	lt	Small directory tree view with eza or ls fallback	alias tree files eza lt	stow/global/shell/.config/shell/aliases.sh
alias-clear	global	alias	Shell alias: clear scrollback	cls	cls	Clear visible terminal and scrollback	alias clear terminal scrollback	stow/global/shell/.config/shell/aliases.sh
copy	omarchy	keybind	Copy	Super+C	omarchy-terminal-shortcut copy	Copy from terminal-aware focused app	copy clipboard terminal shortcut super c	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
paste	omarchy	keybind	Paste	Super+V	omarchy-terminal-shortcut paste	Paste into terminal-aware focused app	copy paste clipboard terminal shortcut super v	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
select-all	omarchy	keybind	Select all	Super+A	omarchy-terminal-shortcut select-all	Select all in terminal-aware focused app	copy select all terminal shortcut super a	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
terminal	omarchy	keybind	Open terminal	Super+Return / Alt+Return	xdg-terminal-exec	Open the default terminal in the active terminal cwd	terminal ghostty shell return	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
ghostty	omarchy	keybind	Open Ghostty	Alt+Shift+Return	ghostty	Open Ghostty in the active terminal cwd	terminal ghostty alt shift return	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
alacritty	omarchy	keybind	Open Alacritty	Super+Shift+Return	alacritty	Open Alacritty in the active terminal cwd	terminal alacritty super shift return	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
close-window	omarchy	keybind	Close window or tab	Super+W	omarchy-close-window	Close browser tab when appropriate, otherwise close the window	close window tab browser	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
quit-app	omarchy	keybind	Quit app	Super+Q	omarchy-quit-app	Quit the focused application	quit app close super q	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
workspace-switch	omarchy	keybind	Switch workspace	Ctrl+1..9	hyprctl workspace 1..9	Switch directly to workspace 1 through 9	workspace desktop aerospace ctrl 1 2 3 4 5 6 7 8 9	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
workspace-move	omarchy	keybind	Move window to workspace	Ctrl+Shift+1..9	hyprctl dispatch movetoworkspace	Move focused window to workspace 1 through 9 and follow it	workspace move window desktop aerospace ctrl shift	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
window-move	omarchy	keybind	Move window	Ctrl+Shift+H/J/K/L	hyprctl dispatch swapwindow	Move focused window left, down, up, or right with Neovim-style keys	window move swap vim neovim ctrl shift h j k l	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
screenshot-region	omarchy	keybind	Region screenshot	Super+Shift+4	omarchy-capture-screenshot region	Capture a selected screen region	screenshot capture region satty super shift 4	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
quake	omarchy	keybind	Quake terminal	Ctrl+`	omarchy-quake toggle	Toggle the pinned quake terminal drawer	quake terminal drawer ctrl backtick ghostty tmux	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
quick-notes	omarchy	keybind	Quick notes	Ctrl+Shift+`	omarchy-notes toggle	Toggle the quick notes drawer	notes quick drawer markdown ctrl shift backtick	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
todo-drawer	omarchy	keybind	Todo drawer	Ctrl+Alt+`	omarchy-todo toggle	Toggle the todo drawer	todo tasks notes drawer ctrl alt backtick	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
quick-capture	omarchy	keybind	Quick capture	Super+Shift+N	omarchy-notes-capture	Append a quick timestamped note	quick capture notes inbox markdown	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
waybar-toggle	omarchy	keybind	Toggle Waybar	Ctrl+Shift+B	omarchy toggle waybar	Toggle the top bar	waybar bar toggle desktop	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
firefox	omarchy	keybind	Open Firefox	Alt+Shift+B	firefox	Launch Firefox	browser firefox web alt shift b	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
vivaldi	omarchy	keybind	Open Vivaldi	Alt+B	vivaldi	Launch Vivaldi	browser vivaldi web alt b	stow/os-omarchy/hyprland/.config/hypr/conf.d/99-omarchy-keymap.conf
input-reset	profile-fornax-omarchy	keybind	Reset input stack	Super+Shift+Esc	voxtype cancel; hyprctl dispatch submap reset; restart fcitx5	Emergency recovery for session-level input stalls	input recovery keyboard escape fcitx voxtype	stow/profile-fornax-omarchy/hyprland/.config/hypr/conf.d/35-input-recovery.conf
notes-inbox	omarchy	desktop	Open Notes Inbox	Open Notes Inbox	omarchy-notes-inbox	Open ~/Documents/Notes/inbox.md in quick notes	notes inbox launcher markdown	stow/os-omarchy/scripts/.local/share/applications/dotfiles-notes-inbox.desktop
